Perceptron Accuracy,Perceptron Prediction,KNN Accuracy,KNN Prediction,SVM Accuracy,SVM Prediction,Perceptron correct,KNN correct,SVM correct,Actual Prediction
77.85,1.0,68.46,0,77.0,1,Yes,No,Yes,1
72.48,1.0,69.8,1,72.0,1,Yes,Yes,Yes,1
82.55,1.0,71.14,0,76.0,1,Yes,No,Yes,1
47.65,1.0,71.14,1,79.0,1,Yes,Yes,Yes,1
57.05,0.0,65.1,1,76.0,1,No,Yes,Yes,1
81.21,1.0,67.11,1,70.0,1,Yes,Yes,Yes,1
75.84,1.0,66.44,0,74.0,1,Yes,No,Yes,1
64.43,0.0,66.44,1,69.0,1,No,Yes,Yes,1
53.02,1.0,66.44,0,73.0,1,Yes,No,Yes,1
62.42,0.0,63.09,0,76.0,1,No,No,Yes,1
67.11,0.0,65.1,0,72.0,1,No,No,Yes,1
73.15,1.0,68.46,0,76.0,1,Yes,No,Yes,1
43.62,1.0,63.09,1,70.0,1,Yes,Yes,Yes,1
78.52,1.0,62.42,0,74.0,1,Yes,No,Yes,1
60.4,1.0,71.14,1,77.0,1,Yes,Yes,Yes,1
75.17,1.0,61.07,0,69.0,1,Yes,No,Yes,1
77.85,1.0,61.74,1,73.0,1,Yes,Yes,Yes,1
77.18,1.0,67.11,1,72.0,1,Yes,Yes,Yes,1
78.52,1.0,65.77,1,72.0,1,Yes,Yes,Yes,1
75.84,1.0,68.46,1,78.0,1,Yes,Yes,Yes,1
83.22,1.0,64.43,1,70.0,1,Yes,Yes,Yes,1
48.99,1.0,67.11,1,69.0,1,Yes,Yes,Yes,1
73.15,1.0,65.1,1,68.0,1,Yes,Yes,Yes,1
59.06,1.0,62.42,1,70.0,1,Yes,Yes,Yes,1
60.4,1.0,64.43,1,79.0,1,Yes,Yes,Yes,1
81.88,1.0,65.77,1,77.0,1,Yes,Yes,Yes,1
81.21,1.0,65.77,1,74.0,1,Yes,Yes,Yes,1
77.18,1.0,60.4,1,66.0,1,Yes,Yes,Yes,1
77.18,1.0,65.1,0,74.0,1,Yes,No,Yes,1
62.42,1.0,67.11,0,76.0,1,Yes,No,Yes,1
73.83,1.0,67.11,1,76.0,1,Yes,Yes,Yes,1
49.66,1.0,63.76,1,72.0,1,Yes,Yes,Yes,1
80.54,1.0,63.76,0,71.0,1,Yes,No,Yes,1
83.89,1.0,67.11,1,79.0,1,Yes,Yes,Yes,1
73.15,1.0,70.47,1,77.0,1,Yes,Yes,Yes,1
77.18,1.0,67.79,1,72.0,1,Yes,Yes,Yes,1
75.84,1.0,62.42,1,73.0,1,Yes,Yes,Yes,1
76.51,1.0,63.76,1,77.0,1,Yes,Yes,Yes,1
59.73,1.0,66.44,1,74.0,0,Yes,Yes,No,1
67.79,1.0,63.09,1,72.0,1,Yes,Yes,Yes,1
77.18,1.0,61.07,1,70.0,1,Yes,Yes,Yes,1
47.65,1.0,67.11,1,84.0,1,Yes,Yes,Yes,1
73.15,1.0,63.76,1,71.0,1,Yes,Yes,Yes,1
79.87,1.0,69.8,1,78.0,1,Yes,Yes,Yes,1
76.51,1.0,63.76,1,72.0,1,Yes,Yes,Yes,1
74.5,1.0,60.4,1,72.0,1,Yes,Yes,Yes,1
77.85,1.0,67.11,1,72.0,1,Yes,Yes,Yes,1
63.09,1.0,63.76,0,72.0,1,Yes,No,Yes,1
71.81,1.0,68.46,1,73.0,1,Yes,Yes,Yes,1
82.55,1.0,65.1,1,77.0,1,Yes,Yes,Yes,1
59.06,1.0,72.48,1,78.0,1,Yes,Yes,Yes,1
77.85,1.0,67.79,1,77.0,1,Yes,Yes,Yes,1
63.76,0.0,67.11,0,75.0,1,No,No,Yes,1
77.18,1.0,63.09,1,72.0,1,Yes,Yes,Yes,1
77.85,1.0,67.11,0,77.0,1,Yes,No,Yes,1
71.14,1.0,69.13,1,74.0,1,Yes,Yes,Yes,1
57.72,1.0,63.76,0,72.0,1,Yes,No,Yes,1
64.43,1.0,68.46,0,74.0,1,Yes,No,Yes,1
76.51,1.0,62.42,1,71.0,1,Yes,Yes,Yes,1
51.01,1.0,67.79,1,73.0,1,Yes,Yes,Yes,1
76.51,1.0,65.1,1,70.0,1,Yes,Yes,Yes,1
73.83,1.0,67.11,1,74.0,1,Yes,Yes,Yes,1
76.51,1.0,64.43,1,77.0,1,Yes,Yes,Yes,1
82.55,1.0,64.43,1,79.0,1,Yes,Yes,Yes,1
63.09,0.0,65.1,1,79.0,1,No,Yes,Yes,1
80.54,1.0,63.09,1,72.0,1,Yes,Yes,Yes,1
76.51,1.0,63.09,1,68.0,1,Yes,Yes,Yes,1
76.51,1.0,60.4,0,69.0,1,Yes,No,Yes,1
56.38,1.0,66.44,1,77.0,1,Yes,Yes,Yes,1
58.39,0.0,59.73,1,74.0,1,No,Yes,Yes,1
77.18,1.0,67.11,1,71.0,1,Yes,Yes,Yes,1
79.87,1.0,59.06,0,72.0,1,Yes,No,Yes,1
79.87,1.0,66.44,1,74.0,1,Yes,Yes,Yes,1
70.47,1.0,65.1,1,68.0,1,Yes,Yes,Yes,1
74.5,1.0,67.79,1,68.0,1,Yes,Yes,Yes,1
67.11,1.0,67.79,1,77.0,1,Yes,Yes,Yes,1
80.54,1.0,67.79,1,77.0,1,Yes,Yes,Yes,1
61.07,0.0,56.38,1,64.0,1,No,Yes,Yes,1
69.8,1.0,65.1,1,72.0,1,Yes,Yes,Yes,1
73.15,1.0,59.73,1,75.0,1,Yes,Yes,Yes,1
74.5,1.0,63.76,1,72.0,1,Yes,Yes,Yes,1
57.72,1.0,62.42,1,72.0,1,Yes,Yes,Yes,1
76.51,1.0,69.13,1,71.0,1,Yes,Yes,Yes,1
54.36,0.0,57.72,1,73.0,1,No,Yes,Yes,1
59.06,0.0,64.43,1,82.0,1,No,Yes,Yes,1
75.84,1.0,68.46,1,74.0,1,Yes,Yes,Yes,1
78.52,1.0,68.46,0,70.0,1,Yes,No,Yes,1
75.84,1.0,64.43,1,77.0,1,Yes,Yes,Yes,1
71.81,0.0,73.15,1,74.0,1,No,Yes,Yes,1
80.54,1.0,66.44,1,77.0,1,Yes,Yes,Yes,1
70.47,0.0,61.74,1,77.0,1,No,Yes,Yes,1
54.36,1.0,65.77,1,70.0,1,Yes,Yes,Yes,1
87.25,1.0,65.1,1,81.0,1,Yes,Yes,Yes,1
75.84,1.0,68.46,1,75.0,1,Yes,Yes,Yes,1
70.47,1.0,69.13,1,74.0,1,Yes,Yes,Yes,1
78.52,1.0,65.1,1,76.0,1,Yes,Yes,Yes,1
72.48,1.0,65.1,1,70.0,1,Yes,Yes,Yes,1
76.51,1.0,65.77,1,72.0,1,Yes,Yes,Yes,1
81.88,1.0,64.43,1,70.0,1,Yes,Yes,Yes,1
57.05,1.0,62.42,0,74.0,1,Yes,No,Yes,1
